id_registro,empresa,departamento,produto_original,produto_normalizado,codigo_produto,codigo_valido,quantidade,unidade,quantidade_base,unidade_base,embalagem_original,preco,preco_publico,pagina_catalogo,data_referencia,metodo_extracao,qualidade_extracao,status_validacao,link_produto,fonte
20,Milk Distribuidora,Catálogo geral,CHOCOLATE BRANCO,CHOCOLATE BRANCO,23,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
21,Milk Distribuidora,Catálogo geral,GRAVIOLA ESPECIAL,GRAVIOLA ESPECIAL,24,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
22,Milk Distribuidora,Catálogo geral,AZULATO,AZULATO,25,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
23,Milk Distribuidora,Catálogo geral,UVA,UVA,26,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
24,Milk Distribuidora,Catálogo geral,NATA GUARANI,NATA GUARANI,27,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
25,Milk Distribuidora,Catálogo geral,CRISTALIZADO UVA,CRISTALIZADO UVA,28,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
26,Milk Distribuidora,Catálogo geral,BAUNILHA BRANCA,BAUNILHA BRANCA,31,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
27,Milk Distribuidora,Catálogo geral,ABACAXI,ABACAXI,38,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
28,Milk Distribuidora,Catálogo geral,ABACAXI HAVAI,ABACAXI HAVAI,39,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
29,Milk Distribuidora,Catálogo geral,STARGEL KR 10KG,STARGEL KR 10KG,40,Sim,10.0,KG,10000.0,G,10.0 KG,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Pronto para comparar,,dados\catalogos\catalogo_milk_2022.pdf
30,Milk Distribuidora,Catálogo geral,BANANA,BANANA,41,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
31,Milk Distribuidora,Catálogo geral,BRIGADEIRO ESPECIAL,BRIGADEIRO ESPECIAL,42,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
32,Milk Distribuidora,Catálogo geral,CHOCOLATE,CHOCOLATE,43,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
33,Milk Distribuidora,Catálogo geral,CHOCOLATE BRANCO,CHOCOLATE BRANCO,44,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
34,Milk Distribuidora,Catálogo geral,COCO,COCO,45,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
35,Milk Distribuidora,Catálogo geral,COCO,COCO,46,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
36,Milk Distribuidora,Catálogo geral,CREME VANILA,CREME VANILA,47,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
37,Milk Distribuidora,Catálogo geral,DOCE DE LEITE,DOCE DE LEITE,48,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
38,Milk Distribuidora,Catálogo geral,GRAVIOLA,GRAVIOLA,49,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
39,Milk Distribuidora,Catálogo geral,IOGURTE MORANGO,IOGURTE MORANGO,50,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
40,Milk Distribuidora,Catálogo geral,LEITE CONDENSADO,LEITE CONDENSADO,51,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
41,Milk Distribuidora,Catálogo geral,MARACUJÁ,MARACUJA,52,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
42,Milk Distribuidora,Catálogo geral,MILHO VERDE,MILHO VERDE,53,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
43,Milk Distribuidora,Catálogo geral,MORANGO,MORANGO,54,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
44,Milk Distribuidora,Catálogo geral,MORANGO STAR,MORANGO STAR,55,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
45,Milk Distribuidora,Catálogo geral,NATA,NATA,56,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
46,Milk Distribuidora,Catálogo geral,TORTA DE LIMÃO,TORTA DE LIMAO,57,Sim,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
47,Milk Distribuidora,Catálogo geral,STARGEL 10KG,STARGEL 10KG,58,Sim,10.0,KG,10000.0,G,10.0 KG,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Pronto para comparar,,dados\catalogos\catalogo_milk_2022.pdf
48,Milk Distribuidora,Catálogo geral,CAPPUCCINO,CAPPUCCINO,XX,Não,,,,,,,Não disponível,2,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
49,Milk Distribuidora,Catálogo geral,CREME DE AVELÃ • 4 Kg,CREME DE AVELA 4 KG,099,Sim,4.0,KG,4000.0,G,4.0 KG,,Não disponível,3,2022-02-14,lista_pontilhada,Alta,Pronto para comparar,,dados\catalogos\catalogo_milk_2022.pdf
50,Milk Distribuidora,Catálogo geral,MORANGO,MORANGO,100,Sim,,,,,,,Não disponível,3,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
51,Milk Distribuidora,Catálogo geral,MORANGO,MORANGO,101,Sim,,,,,,,Não disponível,3,2022-02-14,lista_pontilhada,Alta,Revisar,,dados\catalogos\catalogo_milk_2022.pdf
