empresa,departamento,produto_original,produto_normalizado,codigo_produto,embalagem_original,quantidade,unidade,quantidade_base,unidade_base,preco,preco_publico,pagina_catalogo,link_produto,data_coleta,fonte,status_validacao
Fortali Distribuidora,Confeitaria,GOIABADA TAMBAÚ 500G,GOIABADA TAMBAU 500G,27460,500G,500.0,G,500.0,G,,Não,82,https://www.fortali.com.br/goiabada-tambau-500g-27460-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=82,Pronto para comparar
Fortali Distribuidora,Confeitaria,CHANTILLY SPRAY VIGOR 250G,CHANTILLY SPRAY VIGOR 250G,27556,250G,250.0,G,250.0,G,,Não,29,https://www.fortali.com.br/chantilly-spray-vigor-250g-27556-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=29,Pronto para comparar
Fortali Distribuidora,Confeitaria,LEITE CONDENSADO SEMI DESNATADO PIRACANJUBA 395G,LEITE CONDENSADO SEMI DESNATADO PIRACANJUBA 395G,27585,395G,395.0,G,395.0,G,,Não,1,https://www.fortali.com.br/leite-condensado-semi-desnatado-piracanjuba-395g-27585-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=1,Pronto para comparar
Fortali Distribuidora,Confeitaria,STENCIL ESCAMAS UN CAKHE STAR,STENCIL ESCAMAS UN CAKHE STAR,27588,,,,,,,Não,82,https://www.fortali.com.br/stencil-escamas-un-cakhe-star-27588-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=82,Revisar embalagem
Fortali Distribuidora,Confeitaria,STENCIL FOLHAS COSTELA ADAO UN BLUESTAR,STENCIL FOLHAS COSTELA ADAO UN BLUESTAR,27589,,,,,,,Não,82,https://www.fortali.com.br/stencil-folhas-costela-adao-un-bluestar--27589-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=82,Revisar embalagem
Fortali Distribuidora,Confeitaria,STENCIL POA CORACOES UN CAKHS STAR,STENCIL POA CORACOES UN CAKHS STAR,27590,,,,,,,Não,82,https://www.fortali.com.br/stencil-poa-coracoes-un-cakhs-star-27590-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=82,Revisar embalagem
Fortali Distribuidora,Confeitaria,STENCIL MINI CORACOES UN CAKHE STAR,STENCIL MINI CORACOES UN CAKHE STAR,27591,,,,,,,Não,82,https://www.fortali.com.br/stencil-mini-coracoes-un-cakhe-star-27591-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=82,Revisar embalagem
Fortali Distribuidora,Confeitaria,STENCIL ORNAMENTOS FLORAIS UN CAKHE STAR,STENCIL ORNAMENTOS FLORAIS UN CAKHE STAR,27592,,,,,,,Não,82,https://www.fortali.com.br/stencil-ornamentos-florais-un-cakhe-star-27592-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=82,Revisar embalagem
Fortali Distribuidora,Confeitaria,STENCIL ONCAS UN CAKHE STAR,STENCIL ONCAS UN CAKHE STAR,27593,,,,,,,Não,82,https://www.fortali.com.br/stencil-oncas-un-cakhe-star-27593-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=82,Revisar embalagem
Fortali Distribuidora,Confeitaria,MARCADOR ARABESCO 1PC CAKHE STAR,MARCADOR ARABESCO 1PC CAKHE STAR,27596,,,,,,,Não,82,https://www.fortali.com.br/marcador-arabesco-1pc-cakhe-star-27596-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=82,Revisar embalagem
Fortali Distribuidora,Confeitaria,MARCADOR FLOCO DE NEVE 1PC CAKHS STAR,MARCADOR FLOCO DE NEVE 1PC CAKHS STAR,27597,,,,,,,Não,82,https://www.fortali.com.br/marcador-floco-de-neve-1pc-cakhs-star-27597-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=82,Revisar embalagem
Fortali Distribuidora,Confeitaria,SUPORTE C/ PEGA CONE C/3PCS CAKHE STAR,SUPORTE C PEGA CONE C 3PCS CAKHE STAR,27599,,,,,,,Não,82,https://www.fortali.com.br/suporte-c-pega-cone-c3pcs-cakhe-star-27599-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=82,Revisar embalagem
Fortali Distribuidora,Confeitaria,KIT P/ COBERTURAS UN CAKHE STAR,KIT P COBERTURAS UN CAKHE STAR,27600,,,,,,,Não,82,https://www.fortali.com.br/kit-p-coberturas-un-cakhe-star-27600-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=82,Revisar embalagem
Fortali Distribuidora,Confeitaria,DIOXIDO DE TITANIO MAGO 15G,DIOXIDO DE TITANIO MAGO 15G,27699,15G,15.0,G,15.0,G,,Não,24,https://www.fortali.com.br/dioxido-de-titanio-mago-15g-27699-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=24,Pronto para comparar
Fortali Distribuidora,Confeitaria,EMULSAO SABORIZANTE DE LIMAO 18ML MAGO,EMULSAO SABORIZANTE DE LIMAO 18ML MAGO,27700,18ML,18.0,ML,18.0,ML,,Não,24,https://www.fortali.com.br/emulsao-saborizante-de-limao-18ml-mago-27700-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=24,Pronto para comparar
Fortali Distribuidora,Confeitaria,EMULSAO SABORIZANTE DE LEITE 18ML  MAGO,EMULSAO SABORIZANTE DE LEITE 18ML MAGO,27701,18ML,18.0,ML,18.0,ML,,Não,82,https://www.fortali.com.br/emulsao-saborizante-de-leite-18ml-mago-27701-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=82,Pronto para comparar
Fortali Distribuidora,Confeitaria,EMULSAO SABORIZANTE DE MORANGO 18ML MAGO,EMULSAO SABORIZANTE DE MORANGO 18ML MAGO,27702,18ML,18.0,ML,18.0,ML,,Não,82,https://www.fortali.com.br/emulsao-saborizante-de-morango-18ml-mago-27702-1,2026-08-18 13:06:57,https://www.fortali.com.br/confeitaria?page=82,Pronto para comparar
