empresa,produto_extraido,codigo_produto,codigo_valido,pagina_catalogo,data_catalogo,metodo_extracao,qualidade_extracao,revisao_necessaria,fonte,quantidade_original,unidade_original,quantidade_padronizada,unidade_padronizada,produto_padronizado_inicial,motivos_revisao,codigo_produto_original,motivo_codigo,id_registro,status_validacao
Milk Distribuidora,CRISTALIZADO UVA,28,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,CRISTALIZADO UVA,Embalagem não identificada,28,CODIGO_VALIDO,MILK_COD_28,VALIDO
Milk Distribuidora,BAUNILHA BRANCA,31,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,BAUNILHA BRANCA,Embalagem não identificada,31,CODIGO_VALIDO,MILK_COD_31,VALIDO
Milk Distribuidora,ABACAXI,38,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,ABACAXI,Embalagem não identificada,38,CODIGO_VALIDO,MILK_COD_38,VALIDO
Milk Distribuidora,ABACAXI HAVAI,39,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,ABACAXI HAVAI,Embalagem não identificada,39,CODIGO_VALIDO,MILK_COD_39,VALIDO
Milk Distribuidora,STARGEL KR 10KG,40,True,2,2022-02-14,lista_pontilhada,Alta,Não,dados\catalogos\catalogo_milk_2022.pdf,10.0,KG,10.0,KG,STARGEL KR,,40,CODIGO_VALIDO,MILK_COD_40,VALIDO
Milk Distribuidora,BANANA,41,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,BANANA,Embalagem não identificada,41,CODIGO_VALIDO,MILK_COD_41,VALIDO
Milk Distribuidora,BRIGADEIRO ESPECIAL,42,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,BRIGADEIRO ESPECIAL,Embalagem não identificada,42,CODIGO_VALIDO,MILK_COD_42,VALIDO
Milk Distribuidora,CHOCOLATE,43,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,CHOCOLATE,Embalagem não identificada,43,CODIGO_VALIDO,MILK_COD_43,VALIDO
Milk Distribuidora,CHOCOLATE BRANCO,44,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,CHOCOLATE BRANCO,Embalagem não identificada,44,CODIGO_VALIDO,MILK_COD_44,VALIDO
Milk Distribuidora,COCO,45,True,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,COCO,Embalagem não identificada,45,CODIGO_VALIDO,MILK_COD_45,VALIDO
