id_milk,produto_milk,codigo_milk,status_milk,id_fortali,produto_fortali,codigo_fortali,status_fortali,quantidade_base,unidade_base,similaridade_percentual,classificacao,equivalencia_confirmada,revisao_humana
120,"CHOCOLATE EM PÓ MELKEN 50% 1,050 KG",15,Revisar,3264,"CHOCOLATE EM PÓ 50% GENUINE PACOTE 1,05KG",8248,Pronto para comparar,1050.0,G,65.52,Baixa,Não,Sim
120,"CHOCOLATE EM PÓ MELKEN 50% 1,050 KG",15,Revisar,3265,CHOCOLATE EM PÓ 33% GENUINE PACOTE 1.05KG,8249,Pronto para comparar,1050.0,G,65.52,Baixa,Não,Sim
122,GANACHE MEIO AMARGO MELKEN 1 KG,166,Revisar,247,CHOCOLATE MEIO AMARGO GENUINE 1KG,11450,Pronto para comparar,1000.0,G,65.45,Baixa,Não,Sim
98,NUTELLA COM AVELÃ 650 G,172,Revisar,3223,"NUTELLA CREME DE AVELÃ COM CACAU, 650G",6438,Pronto para comparar,650.0,G,65.31,Baixa,Não,Sim
82,GRANULADO TRDICIONAL KERRY • 1 KG,98,Revisar,2501,GRANULADO COLORIDO LEKE 1KG,31655,Pronto para comparar,1000.0,G,65.31,Baixa,Não,Sim
120,"CHOCOLATE EM PÓ MELKEN 50% 1,050 KG",15,Revisar,856,"CHOCOLATE EM PÓ 50% CACAU DECORA 1,05KG",20276,Pronto para comparar,1050.0,G,64.29,Baixa,Não,Sim
82,GRANULADO TRDICIONAL KERRY • 1 KG,98,Revisar,2502,GRANULADO ESCURO LEKE 1KG,31656,Pronto para comparar,1000.0,G,63.83,Baixa,Não,Sim
134,LEITE CONDENSADO PURELAC 5 KG,282,Revisar,3241,LEITE CONDENSADO SEMI DESNATADO ITALAC BAG 5KG,7218,Pronto para comparar,5000.0,G,63.64,Baixa,Não,Sim
49,CREME DE AVELÃ • 4 Kg,099,Pronto para comparar,2920,CREME DE DORELLA DOREMUS 4KG,35177,Pronto para comparar,4000.0,G,63.16,Baixa,Não,Sim
134,LEITE CONDENSADO PURELAC 5 KG,282,Revisar,1446,LEITE CONDENSADO CAMPONESA SEMIDESNATADO 5KG,25973,Pronto para comparar,5000.0,G,62.5,Baixa,Não,Sim
