empresa,produto_extraido,codigo_produto,codigo_valido,pagina_catalogo,data_catalogo,metodo_extracao,qualidade_extracao,revisao_necessaria,fonte
Milk Distribuidora,MILHO VERDE,53,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,MORANGO,54,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,MORANGO STAR,55,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,NATA,56,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,TORTA DE LIMÃO,57,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,STARGEL 10KG,58,Sim,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CAPPUCCINO,XX,Não,2,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CREME DE AVELÃ • 4 Kg,099,Sim,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,MORANGO,100,Sim,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,MORANGO,101,Sim,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHOC MEIO AMARGO,102,Sim,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"MORANGO • 4,5 Kg",103,Sim,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHOCOLATE,104,Sim,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHOCOLATE,105,Sim,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CARAMELO GOUMET • 5 Kg,106,Sim,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHOCOLATE TRUFADO • 4 Kg,107,Sim,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,TRUFA BRANCA • 4 Kg,108,Sim,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,LEITINHO • 4 Kg,111,Sim,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"FRUTAS DO BOSQUE • 1,2KG",153,Sim,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,LIGA STARMIX G • 3 KG,157,Sim,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CARAMELO,17,Sim,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,NEUTRA ARTESANAL • 1 KG,18,Sim,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,LIGA STARMIX G • 2 KG,19,Sim,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHOCOLATE,20,Sim,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,TRADICIONAL,29,Sim,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHOCOLATE BRANCO,30,Sim,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHOCOLATE PARA FLOCOS,36,Sim,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CARAMELO,XX,Não,3,2022-02-14,lista_pontilhada,Alta,Sim,dados\catalogos\catalogo_milk_2022.pdf
