empresa,produto_original,codigo_produto,pagina_catalogo,data_catalogo,data_extracao,metodo_extracao,revisao_necessaria,fonte
Milk Distribuidora,LEITE CONDENSADO,51,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,MARACUJÁ,52,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,MILHO VERDE,53,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,MORANGO,54,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,MORANGO STAR,55,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,NATA,56,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,TORTA DE LIMÃO,57,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,STARGEL 10KG,58,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CAPPUCCINO,XX,2,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CREME DE AVELÃ • 4 Kg,099,3,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,MORANGO,100,3,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,MORANGO,101,3,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHOC MEIO AMARGO,102,3,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"MORANGO • 4,5 Kg",103,3,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHOCOLATE,104,3,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHOCOLATE,105,3,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CARAMELO GOUMET • 5 Kg,106,3,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHOCOLATE TRUFADO • 4 Kg,107,3,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,TRUFA BRANCA • 4 Kg,108,3,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,LEITINHO • 4 Kg,111,3,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"FRUTAS DO BOSQUE • 1,2KG",153,3,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,LIGA STARMIX G • 3 KG,157,3,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CARAMELO,17,3,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,NEUTRA ARTESANAL • 1 KG,18,3,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,LIGA STARMIX G • 2 KG,19,3,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHOCOLATE,20,3,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,TRADICIONAL,29,3,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHOCOLATE BRANCO,30,3,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CHOCOLATE PARA FLOCOS,36,3,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CARAMELO,XX,3,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,MORANGO,XX,3,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,CAFÉ • 1 Kg,XX,3,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"CROCANTE • 1,050 KG",121,4,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"MACIO • 1,050 KG",14,4,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"2,5 KG",142,8,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"4,5 KG",32,8,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"FRAMBOESA 1,8 KG",XX,8,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"FRUTAS DO BOSQUE 1,8 KG",XX,8,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"MORANGO 4,1 KG",08,9,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"FRUTAS VERMELHAS 4,1 KG",113,9,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"ABACAXI 4,1 KG",159,9,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"ABACAXI AO VINHO 4,1 KG",174,9,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
Milk Distribuidora,"BANANA CARAMELIZADA 4,1 KG",265,9,2022-02-14,2026-08-18 12:19:57,lista_pontilhada,Sim,dados\catalogos\catalogo_milk_2022.pdf
